,positive,negative,positive_percent,negative_percent
food,196.0,30.0,11.618257261410788,1.7783046828689981
staff,437.0,47.0,25.903971547125078,2.7860106698280975
comfort & facilities,0.0,0.0,0.0,0.0
value for money,23.0,2.0,1.3633669235328987,0.11855364552459988
