,positive,negative,positive_percent,negative_percent
food,114.0,8.0,20.54054054054054,1.4414414414414414
staff,162.0,10.0,29.18918918918919,1.8018018018018018
comfort,21.0,0.0,3.783783783783784,0.0
facilities,64.0,5.0,11.531531531531531,0.9009009009009009
value for money,4.0,1.0,0.7207207207207207,0.18018018018018017
