,positive,negative,positive_percent,negative_percent
food,474.0,117.0,25.10593220338983,6.197033898305085
staff,783.0,162.0,41.472457627118644,8.58050847457627
comfort & facilities,0.0,0.0,0.0,0.0
value for money,10.0,3.0,0.5296610169491525,0.15889830508474578
