,positive,negative,positive_percent,negative_percent
food,1111.0,46.0,27.50680861599406,1.138895766278782
staff,1679.0,82.0,41.569695469175535,2.0302054964100025
comfort & facilities,1.0,0.0,0.02475860361475613,0.0
value for money,53.0,1.0,1.3122059915820747,0.02475860361475613
