Review ID,Review Content,Review Score,Review Time
Booking.com,785683854,"
 Beds and pillows are very comfortable.  I like when the air-conditioned is not turned off even if nobody in the room.
 The faucet in the sink is old. And the shower as well.",9.0,2024-03-30T10:35:50+07:00
Booking.com,785683859,"
 Was captivated by the sheer size of the building from the outside while the hotel lobby with all its amazing historical pictorial murals and pictures  and ground floor shopping areas were a nice tribute  to the hotel as well.
The swimming pool and gym were great as well.
 The swimming pool cascades  were not operational when we were there due to it being closed off for safety reasons, no doubt for future repairs to be  carried out. 
Not having a separate queue at the reception desk for checking- out as check- in and check- out were in the same queue taking longer to get attended to.
There was an additional holding charge on my credit card of a significant amount  and was informed it would be paid back to me, but still pending after nearly a week now and not  sure it will be returned to my credit card or not.",9.0,2024-03-29T17:49:36+07:00
Booking.com,785683862,"
 Location and convennience
 It was veerryyy hot. I think they were cost cutting. Lobby was so hot and aircon in our room was super hot! We were not able to rest well",5.0,2024-03-29T14:50:36+07:00
Booking.com,785683856,"
 Not much very overrated
 Old run down",6.0,2024-03-28T12:01:17+07:00
Booking.com,785683850,"
 The bed was incredibly comfortable and provided a great night's sleep. The staff were extremely friendly and accommodating, making my stay all the more enjoyable. Additionally, the buffet was phenomenal and offered a wide variety of delicious options to choose from. Overall, We had a great experience and would recommend this place to anyone looking for a pleasant stay.
 Slow internet connection, can't browse or work online.",6.0,2024-03-28T07:43:52+07:00
Booking.com,785683849,"
 location
 rooms are old, no bidet",5.0,2024-03-19T03:18:11+07:00
Booking.com,785683855,"
 Rooms are very clean and always well presented.  The Italian Restaurant La Gondola is very good, the staff are excellent and always polite and professional.  Their food is always well presented and they do theoir best to make the food as authentic as possible.  Their Pizzas are particularly good as are the desserts.
 Staff can be very helpful, but ocassionally the check-in staff can be a bit short and dismissive.   I sent an email to the Hotel informing them that my fiance would be arriving around three hours before me and that they should let her into the room.  She ended up having to explain all sorts of things to the check-in staff to be able to get into the room when she arrived.  Then they gave her a lower grade room.  When I arrived the young lady on the front desk resolved the issue very quickly, but as I had been travelling for 26 hours I was a but frustrated and annoyed to say the least.",7.0,2024-03-09T14:10:21+07:00
Booking.com,785683861,"
 Large comfortable room with an amazing breakfast
 Location was not the best",8.0,2024-03-07T03:56:07+07:00
Booking.com,785683847,"
 The staff is excellent the food was excellent
 The bed was hard as a rock",5.0,2024-03-03T00:35:29+07:00
Booking.com,777993975,"
 I had to pay for breakfast separately since I didn’t book directly with the hotel but used booking.com. It was a shame!
 Having to pay for breakfast whilst it could have been included with the room booking",9.0,2024-02-27T15:33:09+07:00
Booking.com,777993982,"
 Friendly and helpful staff, 24-hour gym, clean swimming pool, free shuttle to Ayala Center, walking distance to IT Park
 There were only 2 people on board during checkout time. So many people in the queue. They should separate check out from check in. Not fair to wait half an hour just to surrender key cards. Someone should be dedicated to accept key cards. Other hotels just have guests drop off cards if they have prepaid and no other charges, but Waterfront charges 150 pesos for a lost key card, hence, the need to wait in line just to return them.",8.0,2024-02-26T15:21:57+07:00
Booking.com,777993936,"
 Good room size, comfortable bed, excellent elevator
 nothing in particular to mention",9.0,2024-02-26T14:39:48+07:00
Booking.com,777993961,"
 The staff were very helpful, even changed our room cause my mom wanted a lower level room. Very accomodating. The lobby looks very magical.
 The shower need to get changes. very weak water flow and no warm water in the shower.",7.0,2024-02-22T07:40:57+07:00
Booking.com,777993972,"
 Big room, nice breakfast
 Bathroom needs some upgrades",9.0,2024-02-19T05:54:35+07:00
Booking.com,772588631,"
 
 The room is old and dirty. Shower area is not comfortable to use, not safe, tub is too high, danger to slip. 
Buffet food not great,  can’t even keep up the cleanliness and food refill. 2 days in a row we were assigned to a table and after we picked our food and went back to our table, the table is occupied by another customer. Not organized.",3.0,2024-02-13T15:44:56+07:00
Booking.com,772588672,"
 
 Booked for a room with full size bed and ended up with two twin bed",4.0,2024-02-06T20:58:01+07:00
Booking.com,772588653,"
 Pretty decorations and ceiling.  Decent food.
 Room was cold without any way to heat it up.  The shower head was a foot too short, it was about 5 foot high.",6.0,2024-02-06T15:01:18+07:00
Booking.com,772588616,"
 location, service, modern, Gym , massage manager was very friendly
 Gym, spa and the manager",10.0,2024-02-06T04:26:52+07:00
Booking.com,772588668,"
 The massage was good and reasonably priced. Food at Italian resto was good.
 At the pool side there were a lot of flies, the source of which must be cleaned thoroughly. The flies were very annoying.",6.0,2024-02-05T09:22:37+07:00
Booking.com,772588690,"
 Location and facilities
 Very poor WiFi connection in room
Poor menu in Chinese restaurant 
Lifts not working  / maintenance",7.0,2024-02-04T17:05:07+07:00
Booking.com,767624360,"
 Staff and ptivacy
 None",7.0,2024-01-29T23:57:22+07:00
Booking.com,767624356,"
 Same place as our reunion.
 The cooling system was not working properly and we have to move to another room.",7.0,2024-01-28T22:56:59+07:00
Booking.com,767624344,"
 Good staff
 The hotel Old The bed is not good",8.0,2024-01-27T14:56:40+07:00
Booking.com,767624295,"
 I just love this place.  Great mix between modern comfort and cultural heritage.
 I always like it here..... that's why I keep going back.",10.0,2024-01-27T05:04:27+07:00
Booking.com,767624300,"
 Close by to local attractions and government offices..
 A bit dated- the furniture especially..",8.0,2024-01-27T02:02:30+07:00
Booking.com,767624309,"
 For the last 20 years every time we go on vacation we always stay Waterfront Cebu City and always satisfied with the service and very pleasant people working in this hotel.
 ",10.0,2024-01-26T10:15:07+07:00
Booking.com,767624334,"
 Very good breakfast
 It was fine over all",9.0,2024-01-22T20:42:03+07:00
Booking.com,767624294,"
 Grand lobby. 
Centrally located.
Generous portion on the continental breakfast.
 No complain.  It’s a actually good hotel.",9.0,2024-01-21T19:44:47+07:00
Booking.com,763188280,"
 Nothing at all.
 Rude and ignorant door staff. Given a twin bedded room not a double. No hot water on arrival. Abysmal music constantly playing.
Old and tired hotel.",1.0,2024-01-14T06:48:08+07:00
Booking.com,763188516,"
 Almost all
 The taxi in the earliest morning is a problem",9.0,2024-01-12T12:17:23+07:00
Booking.com,763188340,"
 Location
 Shower head",8.0,2024-01-12T07:44:29+07:00
Booking.com,763188481,"
 
 There is no bidet.",4.0,2024-01-11T15:18:52+07:00
Booking.com,763188421,"
 Casino. Perhaps needing a good revamp as the hotel casino is looking dated.
 Not much just needing a good Reno as the hotel is getting out dated.",8.0,2024-01-11T10:08:46+07:00
Booking.com,763188411,"
 Convenient to other locations in city.
Spacious room, high ceiling.
Very clean. Courteous and very helpful staff.
Buffet breakfast had good variety of options.
 Nothing.",9.0,2024-01-11T06:25:06+07:00
Booking.com,763188491,"
 Location location location. You can walk to the mall and restaurants safely.
 It’s old, the rooms are outdated, no usb ports for example. The beds were terrible, and the casino wasn’t very impressive. The other issue is the pool, it’s dated, and boring. I had to give blood and sign away my rights to get a towel. The food prices wraps it up, i can go to a local store and pay 40 pesos for a Coke Zero, at resort it costs 160 for the same drink. All of the food is times four. Also beware black taxis at all costs unless you feel like losing money. White cabs only.",5.0,2024-01-08T10:44:05+07:00
Booking.com,763188362,"
 I wish I knew it was not close to the beach
 The phone in the room was not working",7.0,2024-01-08T06:31:54+07:00
Booking.com,763188441,"
 Staff was incredible. They go above and beyond to make your stay pleasant.
 ",10.0,2024-01-07T00:32:06+07:00
Booking.com,763188274,"
 Breakfast was very good. However, the rooms are quite old and the bed was not that comfortable. The pillows are very thin.
 ",8.0,2024-01-04T15:19:05+07:00
Booking.com,763188372,"
 The staff are exceptionally polite and courteous. They assist us very well. Gym is good. The only problematic is the wifi signal.
 The WIFI is very very bad. Spoils the whole experience.",8.0,2024-01-02T12:02:38+07:00
Booking.com,756273792,"
 For an old hotel it's kept clean in good repair, rooms very big and spacious, room service restaurants ,free bus to IT park and mall,good choice of breakfast, fast and numerous lifts so not much waiting to get to lobby or floor
 Really can't think of anything that stands out to moan about ,maybe check could be quicker but it wasn't a long wait compared to other cebu hotels",9.0,2023-12-30T15:27:18+07:00
