,positive,negative,positive_percent,negative_percent
food,25.0,2.0,23.364485981308412,1.8691588785046727
staff,47.0,6.0,43.925233644859816,5.607476635514018
comfort & facilities,0.0,0.0,0.0,0.0
value for money,3.0,0.0,2.803738317757009,0.0
