,positive,negative,positive_percent,negative_percent
food,117.0,5.0,21.08108108108108,0.9009009009009009
staff,159.0,13.0,28.64864864864865,2.3423423423423424
comfort & facilities,0.0,0.0,0.0,0.0
value for money,5.0,0.0,0.9009009009009009,0.0
