,positive,negative,positive_percent,negative_percent
food,1109.0,48.0,27.457291408764544,1.188412973508294
staff,1689.0,72.0,41.8172815053231,1.7826194602624412
comfort & facilities,1.0,0.0,0.02475860361475613,0.0
value for money,48.0,6.0,1.188412973508294,0.14855162168853675
