,positive,negative,positive_percent,negative_percent
food,185.0,41.0,10.96621221102549,2.430349733254298
staff,433.0,51.0,25.666864256075872,3.023117960877297
comfort & facilities,0.0,0.0,0.0,0.0
value for money,23.0,2.0,1.3633669235328987,0.11855364552459988
