,positive,negative,positive_percent,negative_percent
food,262.0,25.0,13.326551373346899,1.2716174974567651
staff,729.0,52.0,37.08036622583927,2.644964394710071
comfort & facilities,0.0,0.0,0.0,0.0
value for money,35.0,2.0,1.780264496439471,0.10172939979654119
